PRODUTOR;CNPJ_PRODUTOR;PAIS_PRODUTOR;TITULO_ORIGINAL;CPB
24 VPS - FILMES LTDA;002.919.018/0001-17;BRASIL;SENTIDOS À FLOR DA PELE;B0901065500000
24 VPS - FILMES LTDA;002.919.018/0001-17;BRASIL;SENTIDOS À FLOR DA PELE;B1201543100000
24 VPS - FILMES LTDA;002.919.018/0001-17;BRASIL;UM HOMEM DE MORAL;B0901010400000
24 VPS - FILMES LTDA;002.919.018/0001-17;BRASIL;À MARGEM DO CONCRETO;B0500438300000
24.459.062 MICHEL BECHELENI AVILA GUIMARAES;024.459.062/0001-24;BRASIL;PALOMAM ALECRIM, REINVENTANDO A EXISTENCIA;B2600060000000
24.606.831 JULIANO CASTILHO;024.606.831/0001-70;BRASIL;ADIVINHA QUEM VEM PRA JANTAR;B2400247700000
24.606.831 JULIANO CASTILHO;024.606.831/0001-70;BRASIL;CEGA DE AMOR;B2300386400000
24.761.388 JULIANA CASTRO E DEL ROSSO;024.761.388/0001-01;BRASIL;O QUE VEIO DO DÉCIMO ANDAR;B2400123300000
24.795.348 GISELE MOTTA FERREIRA;024.795.348/0001-80;BRASIL;CHOVENDO SANGUE;B2500182600000
24.795.348 GISELE MOTTA FERREIRA;024.795.348/0001-80;BRASIL;SANGUE ENTRE AS PERNAS;B2400002000000
25.048.904 CARLOS ROBERTO VARGAS FRAGA;025.048.904/0001-18;BRASIL;POVO PRESO;B2500503800000
25.123.302 RAFAEL JARDIM AOYAMA;025.123.302/0001-88;BRASIL;CONEXÕES;B2400283200000
25.123.302 RAFAEL JARDIM AOYAMA;025.123.302/0001-88;BRASIL;EFÊMERA;B2400305400000
25.401.082 DANIEL EDU MAYER;025.401.082/0001-07;BRASIL;O QUE FICA;B2500321100000
26.098.724 DANILO MEDEJI;026.098.724/0001-03;BRASIL;DEPOIS DA CHUVA;B2500068700000
26.098.724 DANILO MEDEJI;026.098.724/0001-03;BRASIL;NA TRILHA DO TRUMA - PROCURANDO ALGUÉM - EPISÓDIO PILOTO;B2500081700000
26.203.739 BRUNO LEAL MEDEIROS;026.203.739/0001-94;BRASIL;SEM RUMO SEM NORTE;B2400306300000
26.297.789 MARCELO DE MATOS NEJM;026.927.789/0001-14;BRASIL;ON-LINE;B2400370900000
26.617.096 MARILIA RODRIGUES DA SILVA;026.617.096/0001-25;BRASIL;PLANTA DE RAIZ PROFUNDA;B2500403800000
26.707.256 CLEITON LUCIANO SCHLINDWEIN;026.707.256/0001-27;BRASIL;NO MUNDO DA LUA;B2400388800000
27 MAIS 1 COMUNICAÇÃO VISUAL LTDA;005.666.069/0001-72;BRASIL;MULTIPLICIDADE;B1600418100000
27.171.336 CHARLES GOMES SOUZA;027.171.336/0001-73;BRASIL;I FÓRUM MUNICIPAL DE CAPOEIRA DE CAMPOS DOS GOYTACZSES - A HISTÓRIA DA CAPOEIRA CAMPISTA;B2400400800000
27.500.262 PIERRE DE AGUIAR AZEVEDO;027.500.262/0001-71;BRASIL;FESTEJO NO TERREIRO CABOCLA HERONDINA - RITOS DE RESISTÊNCIA;B2400007500000
27.500.262 PIERRE DE AGUIAR AZEVEDO;027.500.262/0001-71;BRASIL;MESTRAS E MESTRES DO CARIMBÓ;B2300532400000
27.500.262 PIERRE DE AGUIAR AZEVEDO;027.500.262/0001-71;BRASIL;RITOS DE PASSAGEM - PAI RAIMUNDO DA VILA QUE ERA;B2400007600000
27.614.820 DANIEL RODRIGUES JUNQUEIRA;027.614.820/0001-20;BRASIL;CHUVA NA SERRA;B2500534500000
27.667.969 RODRIGO CESAR MADUREIRA;027.667.969/0001-77;BRASIL;DDT 15 ANOS - O QUE SE LEVA DESSA VIDA;B2500164700000
27.667.969 RODRIGO CESAR MADUREIRA;027.667.969/0001-77;BRASIL;ENCONTRO À MINEIRA;B2500143800000
27.667.969 RODRIGO CESAR MADUREIRA;027.667.969/0001-77;BRASIL;FABI METZKER - WOMAN´S WORLD;B2500452000000
